t010100_3040	Saaren maat saroin jaettu	skvr03103090,skvr03106140,skvr03106170
t010100_3380	Suka mereen	skvr01221550,skvr01221560,skvr02100490,skvr02100520,skvr03111830,skvr03111840,skvr03111850,skvr03111860,skvr03111870,skvr03111880,skvr03111890,skvr03111910,skvr03102980,skvr03102990,skvr03103000,skvr03104740,skvr03106050,skvr03106290,skvr03106300,skvr03106310,skvr03100710,skvr03118690,skvr03118770,skvr03119540,skvr03120100,skvr03120490,skvr03120670,skvr03120860,skvr03121090,skvr03123210,skvr03123730,skvr03124210,skvr03124500,skvr03125580,skvr03125690,skvr03126450,skvr03126560,skvr03126800,skvr03126940,skvr03127360,skvr03127960,skvr03128560,skvr03128730,skvr03129190,skvr03129520,skvr03129910,skvr03130800,skvr03131540,skvr03131840,skvr03132790,skvr03133500,skvr03134610,skvr03134620,skvr03135120,skvr03135930,skvr03136720,skvr03137880,skvr03137920,skvr03140760,skvr03141280,skvr03141950,skvr04110300,skvr04110710,skvr04101130,skvr04113410,skvr04113460,skvr04114780,skvr04114950,skvr04102070,skvr04102980,skvr04103170,skvr04104660,skvr04104740,skvr04105810,skvr04100860,skvr04100920,skvr04117250,skvr04118700,skvr04118710,skvr04118720,skvr04118730,skvr04118740,skvr04118750,skvr04118760,skvr04118770,skvr04123900,skvr04124730,skvr04125530,skvr04126630,skvr04128430,skvr04128580,skvr04128700,skvr04129160,skvr04129340,skvr04130300,skvr04131180,skvr04132680,skvr04138640,skvr04139390,skvr04139460,skvr04141320,skvr04141540,skvr05113490,skvr05104070,skvr05109190,skvr05109200,skvr05109210,skvr05109220,skvr05109230,skvr05109250,skvr05109260,skvr05109270,skvr05109280,skvr05109290,skvr05109300,skvr05109310,skvr05109320,skvr05109330,skvr05109340,skvr05109350,skvr05109360,skvr05109370,skvr05109380,skvr05301840,skvr05301851,skvr05301850,skvr05301861,skvr05301860,skvr05301871,skvr05301870,skvr05301880,skvr05301891,skvr05301892,skvr05301890,skvr05301900,skvr05308910,skvr07102340,skvr07102350,skvr07102360,skvr07102370,skvr07102380,skvr07102390,skvr07102400,skvr07102410,skvr07102420,skvr07102430,skvr07102440,skvr07105450,skvr07100730,skvr07112360,skvr07112370,skvr07112380,skvr07112400,skvr07112410,skvr07112420,skvr13012000,skvr13012010,skvr13012020,skvr13012030,skvr13012040,skvr13012050,skvr13012061,skvr13012060,skvr13012070,skvr13012080,skvr13012090,skvr13012100,skvr13012110,skvr13012120,skvr13012130,skvr13012140,skvr13012150,skvr13012160,skvr13012170,skvr13012180,skvr13012190,skvr13012200,skvr13012210,skvr13012220,skvr13012230,skvr13015960,skvr13005640,skvr13005660,skvr13005680,skvr13005690,skvr13005730,skvr13005740,skvr13005750,skvr13000760,skvr13104800,skvr13104910,skvr13104920,skvr13104930,skvr13104940,skvr15110910,skvr15108710,skvr15108720,skvr15108730,skvr15108740,skvr15108750,skvr15108760,skvr15108770,skvr15108780,skvr15108790,skvr15108800,skvr15108810,skvr15108820,skvr15108830,skvr15108840,skvr15108850,skvr15108860,skvr15108870,skvr15108880,skvr15108890,skvr15108900
t010100_3390	Sulhasen kuolema	skvr04138290,skvr05220450,skvr05205220,skvr05205370,skvr06116010,skvr06116020,skvr06103510,skvr06103520,skvr06164170,skvr07123770,skvr13012540,skvr13014770,skvr13015300,skvr13015310,skvr13019930,skvr13019940,skvr13008460,skvr13008470,skvr13008480,skvr13008500,skvr13008510,skvr13008520,skvr13071230,skvr13104540,skvr13104550,skvr15100480
t010100_3400	Sulho omenapuussa	skvr01111850,skvr01111860,skvr01111870,skvr01115300,skvr01115390,skvr01119040,skvr01119120
t010100_3410	Sulhonsa kylvettäjä	skvr01111680,skvr01111690,skvr01114270,skvr01121040,skvr02103770,skvr02103780,skvr02103790,skvr03101381,skvr03101380,skvr03109310,skvr03109360,skvr03109370,skvr03109380,skvr03116040,skvr03117820,skvr03118960,skvr03119720,skvr03120250,skvr03120900,skvr03122260,skvr03122460,skvr03124090,skvr03126840,skvr03127060,skvr03127410,skvr03128080,skvr03128840,skvr03129430,skvr03129590,skvr03133200,skvr03133960,skvr03135850,skvr03135860,skvr03136490,skvr03136790,skvr03139070,skvr03141780,skvr04110930,skvr04100370,skvr04103870,skvr04106530,skvr04117370,skvr04122220,skvr04124130,skvr04125020,skvr04125830,skvr04126280,skvr04127210,skvr04128470,skvr04128610,skvr04128820,skvr04129180,skvr04129540,skvr04129640,skvr04129780,skvr04130040,skvr04131030,skvr04132750,skvr04133500,skvr04134010,skvr04134260,skvr04134920,skvr04138700,skvr04139290,skvr05113260,skvr05113290,skvr05101750,skvr05101760,skvr05101770,skvr05101780,skvr05101790,skvr05101800,skvr05101810,skvr05101820,skvr05101830,skvr05101840,skvr05101850,skvr05101860,skvr05101870,skvr05101880,skvr05101890,skvr05101900,skvr05101910,skvr05101920,skvr05101930,skvr05101940,skvr05103770,skvr05100040,skvr05300381,skvr05300380,skvr05300391,skvr05300390,skvr05300401,skvr05300400,skvr05300410,skvr05300420,skvr07111770,skvr07126340,skvr07128160,skvr07109400,skvr07109410,skvr07109420,skvr07109430,skvr07109440,skvr07109450,skvr07109460,skvr07109700,skvr07109710,skvr07109720,skvr07109730,skvr07109740,skvr07109750,skvr07109760,skvr07109770,skvr07109780,skvr07109790,skvr07109800,skvr07109810,skvr07109820,skvr07109830,skvr07109840,skvr07109850,skvr07109860,skvr07109870,skvr07109880,skvr07109890,skvr07109900,skvr07109910,skvr07109920,skvr13013080,skvr13013890,skvr13015930,skvr13003650,skvr13003660,skvr13003670,skvr13003680,skvr13003690,skvr13003700,skvr13003710,skvr13003720,skvr13003730,skvr13003740,skvr13003750,skvr13003760,skvr13003770,skvr13003780,skvr13003790,skvr13003800,skvr13003810,skvr13003820,skvr13003830,skvr13044340,skvr13057820,skvr15113120,skvr15108140
t010100_3420	Suomeen pako	skvr03101210,skvr03101850,skvr03103510,skvr03104950,skvr03105170,skvr03105210,skvr03106140,skvr03106170,skvr03107270,skvr03107280,skvr03107290,skvr03107311,skvr03107320,skvr03107370,skvr03107410,skvr03107450,skvr03112550,skvr03113160,skvr03113200,skvr03113210,skvr03113260,skvr03113270,skvr03113300,skvr03113330,skvr03113340,skvr03113350,skvr03115090,skvr03118920,skvr03122520,skvr03123470,skvr03126040,skvr03126350,skvr03131600,skvr03133410,skvr03133810,skvr03134270,skvr03136400,skvr03136410,skvr03137360,skvr03139590,skvr03141120,skvr04110030,skvr04110820,skvr04110970,skvr04111210,skvr04111400,skvr04111410,skvr04101290,skvr04113580,skvr04114350,skvr04102370,skvr04102690,skvr04100020,skvr04103190,skvr04103440,skvr04103470,skvr04104840,skvr04105070,skvr04105530,skvr04106740,skvr04100810,skvr04115790,skvr04116150,skvr04116520,skvr04116940,skvr04117670,skvr04119650,skvr04120370,skvr04120380,skvr04120390,skvr04120400,skvr04120410,skvr04120420,skvr04120430,skvr04120440,skvr04120450,skvr04120460,skvr04122670,skvr04124040,skvr04124880,skvr04125000,skvr04125230,skvr04125510,skvr04126340,skvr04131050,skvr04131060,skvr04131400,skvr04135020,skvr04135130,skvr04140150,skvr04140520,skvr04141370,skvr05110850,skvr05110860,skvr05110880,skvr05104040,skvr13011590,skvr13104640,skvr13104650,skvr15108280,skvr15108290,skvr15108340,skvr15108380,skvr15108400,skvr15108440,skvr15108450,skvr15108460,skvr15108470
t010100_3430	Suomen linna suotta tehty	skvr03105390,skvr03116110,skvr03141370,skvr04113090,skvr04113960,skvr04103600,skvr04104650,skvr04106190,skvr04117830,skvr04117840,skvr04120460,skvr04121190,skvr04125430,skvr04131220,skvr04131800,skvr04132090,skvr04136670,skvr05108800,skvr13012290,skvr13041260
t010100_3440	Suomen pojat miekka vyöllä	skvr05223440
t010100_3450	Suomen silta	skvr03101330,skvr03100140,skvr03104970,skvr03108010,skvr03108020,skvr03108030,skvr03108040,skvr03108050,skvr03108060,skvr03112550,skvr03121060,skvr03121290,skvr03126360,skvr03127880,skvr03128700,skvr03129870,skvr03133450,skvr03134270,skvr03135400,skvr03135490,skvr03136930,skvr03138260,skvr04111130,skvr04109950,skvr04147910,skvr13012280,skvr13004150,skvr13104950,skvr13104960,skvr15111500,skvr15111510
t010100_3460	Surma paukkaa tuvan takana	skvr13012300
t010100_3470	Sämpsä Pellervoinen	skvr01111050,skvr01107662,skvr01108060,skvr01201000,skvr01201010,skvr01201060,skvr01201100,skvr01211260,skvr01201170,skvr01202810,skvr01200990,skvr02104530,skvr02106351,skvr02106350,skvr02106360,skvr02106381,skvr02106380,skvr02106390,skvr03111390,skvr03122680,skvr04118100,skvr04140290,skvr06100250,skvr06102920,skvr06135370,skvr06135820,skvr06136030,skvr06100970,skvr06100980,skvr07213080,skvr07201920,skvr07201940,skvr07201960,skvr07201970,skvr07202080,skvr07202170,skvr07202310,skvr07202320,skvr07202330,skvr07202360,skvr07202370,skvr07202400,skvr07202420,skvr07202430,skvr07202440,skvr07202481,skvr07202480,skvr07202490,skvr07202510,skvr07202520,skvr07202550,skvr07202570,skvr07202580,skvr07202590,skvr07202620,skvr07202620,skvr07202630,skvr07202640,skvr07202660,skvr07202680,skvr07202710,skvr07202720,skvr07202730,skvr07202820,skvr07202840,skvr07202850,skvr07202860,skvr07202870,skvr07202890,skvr07202920,skvr07202940,skvr07202950,skvr07202960,skvr07202970,skvr07202981,skvr07202980,skvr07203000,skvr07203010,skvr07203020,skvr07203030,skvr07203041,skvr07203040,skvr07203050,skvr07203060,skvr07203070,skvr07203080,skvr07203120,skvr07203180,skvr07203200,skvr07203230,skvr07203240,skvr07203880,skvr07204640,skvr07206320,skvr07206330,skvr07226360,skvr07226650,skvr07227280,skvr07227350,skvr07227660,skvr07301400,skvr07301570,skvr12139750,skvr13086200
t010100_3480	Sämsä merellä	skvr12139760,skvr12139770
t010200_0600	Saarten synty (Piru meren pohjasta mutaa)	skvr04140550
t010200_0610	Sissejä paennut	skvr07114740
t010200_0620	Soi, soi, surman ruoka	skvr06165071
t010200_0630	Syöjätär ja tyttö	skvr01109260,skvr01109300,skvr01222060,skvr02103800,skvr02103810,skvr06165530,skvr07114540,skvr07114550,skvr07114560,skvr07114570,skvr07114581,skvr07114580,skvr07132130,skvr07132140,skvr07132150,skvr07132161,skvr07132160,skvr07132170,skvr07132180,skvr07132320
t010300_1890	Saapro	skvr13082480
t010300_1900	Saareen Anni laivalla	skvr13000590
t010300_1910	Saavan Oute	skvr03123250
t010300_1920	Saikan tuvan palo	skvr04133860
t010300_1930	Sako vello, Kiiskalan kuningas	skvr03138900,skvr03139710
t010300_1940	Sassan rengit	skvr05223380
t010300_1950	Seikkailu Naisten maassa	skvr15102100
t010300_1960	Seivistön Jermi Kartta	skvr13081520
t010300_1970	Seppä Jaakko sen mokoma	skvr05312450
t010300_1980	Seppäläss on selvä Ketri	skvr05223480
t010300_1990	Sepän tyttö	skvr07114750,skvr13081880,skvr13081890,skvr13081900
t010300_2000	Sian virsi	skvr07129000,skvr07129010,skvr07129030,skvr13081910
t010300_2010	Siikaisten asutuksesta	skvr10101441
t010300_2020	Siipi juoksi sikker vikker	skvr03128410
t010300_2030	Simo soria Suojelasta	skvr05223880,skvr05223910
t010300_2040	Sipilän siivo poika	skvr04113030
t010300_2050	Soikkolan soreat miehet	skvr03131510
t010300_2060	Sojakan Varpun tytär Mari vietellään	skvr13081580
t010300_2080	Sota-aika	skvr06103710,skvr06103720,skvr06103730,skvr06103740,skvr06103750,skvr06103760,skvr13081930,skvr13081940
t010300_2090	Suden tappo	skvr04100120,skvr04102120
t010300_2100	Suen Jussi, Musakan Sohvi, Mantelin Marja	skvr04108100
t010300_2110	Sukunsa kaipaaja	skvr10101150
t010300_2120	Sumbulan Jussi	skvr05223990,skvr13081530
t010300_2130	Sunkuroisen miehet rakensivat kramafonin	skvr04134850
t010300_2140	Suopo ammoi sukassa	skvr01120600
t010300_2150	Sussi suutuksissa	skvr05223900
t010300_2170	Suuresta Suomen nälästä	skvr13081960,skvr13081970
t010300_2180	Suutari	skvr13081980
t010300_2190	Suvannon lasku	skvr13012360
t020100_1710	Sain Virosta viisautta kanteleesta	skvr13047240
t020100_1720	Sanoja Pohjan pitkästä perästä	skvr07221700,skvr07221840
t020100_1730	Satun saamahan sanoja suusta Antero Vipusen	skvr07103630
t020100_1740	Seinäkellot, tunnit, jos olisi, laulaisin paremmin	skvr05200170
t020100_1750	Silloin laulan, konsa joudan	skvr01112920,skvr02104020,skvr02104140,skvr02104150,skvr03110290,skvr03110330,skvr03110430,skvr03101580,skvr03102610,skvr03104750,skvr03113140,skvr03114290,skvr03114570,skvr03115380,skvr03115440,skvr03122420,skvr03127270,skvr03135260,skvr03135880,skvr03137460,skvr04111950,skvr04112930,skvr04113790,skvr04103630,skvr04105760,skvr04106760,skvr04108400,skvr04109740,skvr04109820,skvr04109830,skvr04109850,skvr04115120,skvr04115740,skvr04117010,skvr04121200,skvr04121500,skvr04121510,skvr04121570,skvr04122180,skvr04122210,skvr04122470,skvr04125560,skvr04125780,skvr04126150,skvr04126300,skvr04128520,skvr04130140,skvr04130470,skvr04131900,skvr04133820,skvr04133830,skvr04134080,skvr04135000,skvr04135100,skvr04138000,skvr04140040,skvr04140460,skvr05210490,skvr05211700,skvr05201340,skvr05201370,skvr05201390,skvr05201530,skvr05201630,skvr05217070,skvr05201820,skvr05219760,skvr05202090,skvr05202100,skvr05202120,skvr05202130,skvr05202140,skvr05202150,skvr05202160,skvr05202170,skvr05202180,skvr05202190,skvr05202200,skvr05202210,skvr05202220,skvr05202260,skvr05202270,skvr05202280,skvr05202290,skvr05202350,skvr05202360,skvr05202390,skvr05202400,skvr05202410,skvr05202420,skvr05202430,skvr05202440,skvr05202480,skvr05202490,skvr05202680,skvr05202880,skvr05202990,skvr05203080,skvr05209491,skvr05303091,skvr05303090,skvr05303110,skvr05303170,skvr05303450,skvr05303550,skvr05303561,skvr05303560,skvr06105510,skvr07115140,skvr07115170,skvr07117130,skvr07117140,skvr07117150,skvr07117160,skvr07117170,skvr07117180,skvr07117190,skvr07117200,skvr13010770,skvr13010780,skvr13010840,skvr13010870,skvr13016030,skvr13016550,skvr13017160,skvr13017340,skvr13017410,skvr13017420,skvr13017430,skvr13017440,skvr13017450,skvr13017460,skvr13017470,skvr13017480,skvr13017490,skvr13017500,skvr13017510,skvr13017520,skvr13017530,skvr13017540,skvr13017550,skvr13017560,skvr13017570,skvr13017580,skvr13017590,skvr13017600,skvr13017730,skvr13018540,skvr13018920,skvr13018950,skvr13028860,skvr13039201,skvr13047180,skvr13047200,skvr13048610,skvr13070710,skvr13105990,skvr13124820,skvr15111890,skvr15111910,skvr15112520,skvr15108850
t020100_1760	Sitä lauletaan, mitä virteen tulee	skvr01112870,skvr01114730,skvr01207860,skvr05309440,skvr07115120,skvr13018360
t020100_1770	Soi metsä, kumaja korpi	skvr04116490,skvr04117050,skvr04117430,skvr04131530,skvr04133380,skvr04138250,skvr05220910,skvr05203060,skvr05208650,skvr05303470,skvr13017820
t020100_1780	Soisin aina soitettavan, laulettavan	skvr05211400,skvr05207140,skvr05200880,skvr05200910,skvr05303481,skvr05303480,skvr07119160,skvr13015521,skvr13105880
t020100_1790	Soittaa soria likka kulkullansa	skvr13017760,skvr13107790
t020100_1800	Soitto, tytön - kanteleen	skvr13017770
t020100_1810	Suomen sulhot laaut laulamaan	skvr05202780
t020100_1820	Sutta rutta suotta laulan	skvr05201670,skvr05200790,skvr05303630,skvr05309420
t020100_1830	Suu suruinen laulajalla	skvr03111620,skvr03101440,skvr03101730,skvr03100050,skvr03108240,skvr03114600,skvr03114610,skvr03114630,skvr03114980,skvr03118070,skvr03128990,skvr03132480,skvr03137060,skvr03137340,skvr03138940,skvr03139220,skvr04113880,skvr04109990,skvr15112400
t020100_1840	Suussain on sanan sakara	skvr03110170,skvr03110290,skvr03110430,skvr03101580,skvr03104750,skvr03113140,skvr03115910,skvr03124240,skvr03126610,skvr03127520,skvr03135260,skvr03137460,skvr04114430,skvr04101660,skvr04106760,skvr04109830,skvr04117700,skvr04121790,skvr04122180,skvr04122210,skvr04122850,skvr04130140,skvr04131900,skvr04131960,skvr04134360,skvr04134770,skvr05112050,skvr05201280,skvr05201371,skvr05201370,skvr05201380,skvr05201630,skvr05201690,skvr05201820,skvr05219510,skvr05202330,skvr05202350,skvr05202690,skvr05202710,skvr05206300,skvr05302720,skvr05302751,skvr05302750,skvr05303280,skvr05303510,skvr05303730,skvr05303771,skvr05303770,skvr05308240,skvr12103200,skvr13010960,skvr13015450,skvr13018270,skvr13018280,skvr13018320,skvr13018810,skvr13018860,skvr13018890,skvr13047360,skvr13048600,skvr15111910,skvr15112070
t020100_1850	Syyttä laulaminen - synti	skvr01104260,skvr01108490,skvr01113410,skvr01113420,skvr01205390
t020201_0800	Se itki syvintä syytä, joka itki osan kovuutta	skvr01107610,skvr07102660,skvr07121480,skvr07121591,skvr07121590
t020201_0810	Silloin itkin ilman syytä	skvr01118240,skvr03101390,skvr03104120,skvr03108320,skvr03136180,skvr03137470,skvr03138870,skvr03139000,skvr04108850,skvr04109650,skvr05213700,skvr05215660,skvr05224430,skvr05205210,skvr05205251,skvr05205750,skvr05206370,skvr05304070,skvr05304080,skvr05304090,skvr05304100,skvr13019860,skvr13019870,skvr13019880,skvr13019890,skvr13019900,skvr13019910,skvr13019920,skvr13031850,skvr13106300,skvr13107660,skvr15100450
t020201_0820	Sudet ulvoo suon perällä päiviäni	skvr05113260,skvr05223200,skvr05304431,skvr05304430,skvr05304450,skvr05308541,skvr05308540,skvr07118360,skvr07120830,skvr07122820,skvr13019210
t020201_0830	Suru särkee syämmeni	skvr06107250,skvr07122090,skvr07122100,skvr13019750,skvr13079880
t020201_0840	Surull on susi metsässä	skvr05204140,skvr05204460,skvr05304550,skvr05304570,skvr05304580,skvr13020840,skvr13021710,skvr13022300,skvr13038820
t020201_0850	Surulla sukat kuluvat	skvr05206880
t020201_0860	Susi käyköön suruun	skvr04102970,skvr04103060,skvr04105140,skvr04115830,skvr04130600
t020201_0870	Sydän syntisen kytövi	skvr07118740
t020201_0880	Sydän tietää paljo syytä, pää pahaa mieltä	skvr05304230,skvr05304261,skvr05304260,skvr05307080
t020201_0890	Sydäntäni tuimelee, päätäni kivistelee	skvr01120860,skvr05304261,skvr05304260,skvr05305200,skvr06106760,skvr07118740,skvr07119470,skvr07119890,skvr12103240,skvr13020790
t020201_0900	Syksyllä, kesällä syntynyt	skvr03107280,skvr03108340,skvr03108370,skvr03114820,skvr03114830,skvr03114910,skvr04110580,skvr04109890,skvr04109900,skvr04115810,skvr04116640,skvr04121560,skvr04123440,skvr04123630,skvr04137080,skvr05201540,skvr05202060,skvr05222870,skvr13018160,skvr13018190
t020201_0910	Syli on vettä vuotehessa	skvr03101150,skvr03125340,skvr03126390,skvr03136270,skvr03141760
t020201_0920	Syntymistään sureva	skvr01114040,skvr01114232,skvr03101770,skvr03101960,skvr03105550,skvr03108430,skvr03108440,skvr03108500,skvr03109190,skvr03109890,skvr03114890,skvr03114900,skvr03114920,skvr03115140,skvr03115150,skvr03115310,skvr03115530,skvr03124320,skvr03126640,skvr03126970,skvr03127480,skvr03127970,skvr03132460,skvr03132910,skvr03135200,skvr03136500,skvr03137230,skvr03139260,skvr03140200,skvr03141520,skvr04110270,skvr04110340,skvr04113350,skvr04114770,skvr04101630,skvr04102720,skvr04103310,skvr04106540,skvr04107380,skvr04108130,skvr04100910,skvr04109250,skvr04109620,skvr04109630,skvr04109640,skvr04109660,skvr04115280,skvr04115860,skvr04116200,skvr04116210,skvr04116760,skvr04116890,skvr04116960,skvr04117020,skvr04120980,skvr04121130,skvr04121390,skvr04121410,skvr04121420,skvr04121510,skvr04121530,skvr04121580,skvr04121810,skvr04121860,skvr04122090,skvr04125550,skvr04125560,skvr04126900,skvr04129010,skvr04130890,skvr04131130,skvr04131450,skvr04131700,skvr04132980,skvr04132990,skvr04133030,skvr04133330,skvr04133710,skvr04135490,skvr04136620,skvr04136750,skvr04136810,skvr04137000,skvr04137030,skvr04137080,skvr04137890,skvr04138200,skvr04138420,skvr04139530,skvr04139810,skvr05108350,skvr05203500,skvr05204030,skvr05205480,skvr05205490,skvr05205500,skvr05205510,skvr05205520,skvr05205531,skvr05205530,skvr05205540,skvr05205550,skvr05205560,skvr05205570,skvr05205581,skvr05205580,skvr05205590,skvr05205600,skvr05205610,skvr05205620,skvr05205630,skvr05205640,skvr05205650,skvr05205660,skvr05205670,skvr05205680,skvr05205690,skvr05205700,skvr05205870,skvr05206410,skvr05207670,skvr05304161,skvr05304160,skvr05304171,skvr05304170,skvr05304291,skvr05304290,skvr05304310,skvr05304321,skvr05304320,skvr06106740,skvr06106770,skvr06106780,skvr06106790,skvr06106810,skvr06106820,skvr06106830,skvr06106840,skvr06109510,skvr07106861,skvr07117250,skvr07119070,skvr07119090,skvr07120190,skvr07120200,skvr07120210,skvr07120220,skvr07120230,skvr07120240,skvr07120250,skvr07120260,skvr07120270,skvr07120280,skvr07120290,skvr07120300,skvr07120310,skvr07120320,skvr07120330,skvr07120340,skvr07120350,skvr07120361,skvr07120360,skvr07120370,skvr07120380,skvr07120390,skvr07120430,skvr07120430,skvr07121240,skvr07121310,skvr07121440,skvr07122740,skvr07122750,skvr07123070,skvr07123080,skvr07124260,skvr07124700,skvr07124710,skvr07124720,skvr07127160,skvr07144140,skvr13011690,skvr13012090,skvr13012150,skvr13020020,skvr13020390,skvr13020400,skvr13020410,skvr13020420,skvr13020430,skvr13020440,skvr13020450,skvr13020460,skvr13020470,skvr13020480,skvr13020490,skvr13020500,skvr13020510,skvr13020520,skvr13020530,skvr13020540,skvr13020550,skvr13020560,skvr13020570,skvr13020580,skvr13020590,skvr13020600,skvr13020610,skvr13020620,skvr13020630,skvr13020640,skvr13020650,skvr13020660,skvr13020670,skvr13020680,skvr13020690,skvr13020700,skvr13020720,skvr13022430,skvr13022440,skvr13022450,skvr13022960,skvr13023050,skvr13031860,skvr13056510,skvr13106390,skvr13106400,skvr13106410,skvr13106420,skvr13106430,skvr13106440,skvr13106450,skvr13106460,skvr13106470,skvr13106480,skvr13106490,skvr13106500,skvr13106510,skvr13106520,skvr13106530,skvr13106540,skvr13106550,skvr13106980,skvr13107140,skvr15112490,skvr15112660,skvr15112670,skvr15112680,skvr15112690,skvr15112700,skvr15112710,skvr15113420
t020202_0450	Suku suuttui, heimo heitti - älä heitä Herra Jeesus	skvr01112900,skvr01113990,skvr01114000,skvr01114010,skvr01114020,skvr02104190,skvr02104200,skvr03104950,skvr04114580,skvr04121370,skvr04121910,skvr05201560,skvr05204640,skvr05204670,skvr05204710,skvr05204830,skvr05304650,skvr05304980,skvr05305010,skvr05308610,skvr07118391,skvr07118390,skvr07122470,skvr07122480,skvr13019610,skvr13021400,skvr13022240,skvr13022580,skvr13023170,skvr13023270,skvr13023480,skvr13106710,skvr15104380
t020202_0460	Syrjin synnyin, kasvoin	skvr01106940,skvr01113710,skvr04111850,skvr04109660
t020203_0610	Silmät kipeät, itkin kuollehia	skvr01110980,skvr01111280,skvr01113900,skvr03101090,skvr03101930,skvr03108540,skvr03115410,skvr03128390,skvr03135940,skvr03136820,skvr03139080,skvr04108850,skvr04121370,skvr04121740,skvr05104060,skvr05104070,skvr05109340,skvr05222880,skvr05203170,skvr05203830,skvr05205920,skvr05205930,skvr05205940,skvr05205950,skvr05205960,skvr05205970,skvr05205990,skvr05206000,skvr05304030,skvr05308161,skvr05308160,skvr07108790,skvr07117720,skvr07117750,skvr07119050,skvr07119340,skvr07121141,skvr07121142,skvr07121140,skvr07121150,skvr07121160,skvr07121170,skvr07121180,skvr12162090,skvr13001540,skvr13019450,skvr13019840,skvr13020010,skvr13020740,skvr13020750,skvr13020760,skvr13020770,skvr13023210
t020203_0620	Sukat surmalle lupasin	skvr03114990,skvr03115040,skvr04121130,skvr04122220,skvr04126190,skvr05205830,skvr05205870,skvr05206250,skvr05206290,skvr05206340,skvr05304190,skvr05304201,skvr05304200,skvr07117740,skvr07122190,skvr07122200,skvr13012240,skvr13020810,skvr13020820,skvr13020830,skvr13021270,skvr13021340,skvr13022450,skvr13022720,skvr13005240,skvr13054200,skvr15113220
t020203_0630	Suomalainen kasvatti orvon	skvr03122940,skvr04110440,skvr04110970,skvr04114960,skvr04100510,skvr04108740,skvr04108980,skvr04109210,skvr04109680,skvr04115810,skvr04121640,skvr04128060,skvr04128500,skvr04137880,skvr04139720,skvr05212320,skvr05212330,skvr05204760
t020203_0640	Suren suurta surmavuotta	skvr05205180,skvr05205360,skvr05206140,skvr05206250
t020203_0650	Surma tuli ja tappoi omani	skvr04114620,skvr04108060,skvr04123370,skvr04139090,skvr04141940,skvr04145870,skvr07119610
t020300_0420	Surren istuin, surren astuin	skvr07114080,skvr07114180,skvr07114200,skvr07122070,skvr07122080,skvr07129280
t020300_0430	Surullista suuta syötän	skvr01114030,skvr07118530,skvr07122080
t020400_0490	Saakoon sanoja itse lapset	skvr01114680,skvr03110030,skvr03110040,skvr03110080,skvr03110090,skvr03101220,skvr03101450,skvr03102960,skvr03105120,skvr03105530,skvr03108270,skvr03108460,skvr03108830,skvr03114460,skvr03114740,skvr03114910,skvr03114930,skvr03115150,skvr03115230,skvr03115290,skvr03115350,skvr03115360,skvr03115440,skvr03117860,skvr03117870,skvr03120710,skvr03121050,skvr03121630,skvr03124090,skvr03124200,skvr03126080,skvr03127650,skvr03129050,skvr03129280,skvr03129290,skvr03129720,skvr03133140,skvr03134580,skvr03136450,skvr03137080,skvr03140100,skvr03140650,skvr03141600,skvr04104100,skvr04104340,skvr04104960,skvr04116710,skvr05202210,skvr05205580,skvr05207150,skvr05207210,skvr05207220,skvr05207240,skvr05207320,skvr05207380,skvr05207390,skvr05209140,skvr07126210,skvr13024360,skvr13032300,skvr13056510,skvr13134240,skvr13134250,skvr15112360,skvr15112370,skvr15112380,skvr15112690
t020400_0500	Sanat päälleni satavi	skvr03109330,skvr03121110,skvr07122050,skvr07122450
t020400_0510	Sanotaan etten maksa maasta rohta	skvr04113880
t020400_0520	Sanottiin Matin/Marin kanssa maanneeni	skvr04102680,skvr04117550,skvr05202210,skvr05223940,skvr05207220,skvr05207250,skvr05209140,skvr13024360,skvr13024370,skvr13029770,skvr13039580
t020400_0530	Sanottiin syömäriksi, juomariksi, koinariksi	skvr02104550,skvr03114910,skvr03130710,skvr03141600,skvr04110190,skvr04112990,skvr04113050,skvr04113290,skvr04102680,skvr04106430,skvr04108360,skvr04115760,skvr04133100,skvr04134600,skvr04136650,skvr05210350,skvr05210360,skvr05210410,skvr05210440,skvr05200320,skvr05205080,skvr05208690,skvr05306420,skvr05306551,skvr05306550,skvr06105170,skvr06106630,skvr07117490,skvr07117590,skvr07121610,skvr07121690,skvr07121870,skvr07121930,skvr07121940,skvr07126690,skvr07126700,skvr07126940,skvr07126950,skvr07126980,skvr12103600,skvr13019900,skvr13024390,skvr13024400,skvr13006480,skvr13029690,skvr13029700,skvr13029710,skvr13032630,skvr13081930
t020400_0540	Sanovat köyhän lasta köhmäköksi, rikkaan ramakkahaksi	skvr05208570
t020400_0550	Sanovat paremman emosen lasta	skvr05208520,skvr05304300,skvr05304950,skvr05305390,skvr05305440
