t010100_3710	Vaimon etsijä	skvr04127900
t010100_4120	Väinämöisen ammunta	skvr01101000,skvr01101010,skvr01101020,skvr01101030,skvr01101040,skvr01101050,skvr01101060,skvr01101070,skvr01101080,skvr01101100,skvr01101110,skvr01101160,skvr01101171,skvr01101172,skvr01101173,skvr01101170,skvr01101180,skvr01101190,skvr01100110,skvr01101200,skvr01101210,skvr01101220,skvr01101230,skvr01101240,skvr01101250,skvr01101260,skvr01101270,skvr01101290,skvr01100120,skvr01101300,skvr01101311,skvr01101310,skvr01101340,skvr01101350,skvr01100130,skvr01101450,skvr01100140,skvr01101560,skvr01101570,skvr01100150,skvr01100160,skvr01100170,skvr01100180,skvr01100010,skvr01100210,skvr01100220,skvr01100240,skvr01100250,skvr01100261,skvr01100260,skvr01100270,skvr01102801,skvr01100280,skvr01100020,skvr01103050,skvr01100301,skvr01100300,skvr01103180,skvr01100310,skvr01103210,skvr01103210,skvr01103280,skvr01103290,skvr01103290,skvr01100330,skvr01100350,skvr01100360,skvr01100370,skvr01100381,skvr01100380,skvr01100400,skvr01100430,skvr01104420,skvr01100440,skvr01104520,skvr01100450,skvr01100460,skvr01100470,skvr01100490,skvr01100040,skvr01100541,skvr01100540,skvr01100581,skvr01100580,skvr01106010,skvr01106070,skvr01100600,skvr01100610,skvr01100620,skvr01100631,skvr01100632,skvr01100633,skvr01100630,skvr01100640,skvr01100680,skvr01100690,skvr01100710,skvr01100730,skvr01100740,skvr01100750,skvr01100780,skvr01100791,skvr01100790,skvr01100070,skvr01100820,skvr01100831,skvr01100832,skvr01100830,skvr01100842,skvr01100840,skvr01100860,skvr01100870,skvr01100881,skvr01100880,skvr01100890,skvr01100910,skvr01100920,skvr01100930,skvr01100940,skvr01100950,skvr01100970,skvr01100980,skvr01100091,skvr01100090,skvr01110090,skvr01108760,skvr01114670,skvr01213700,skvr01221340,skvr01221350,skvr01221471,skvr01221470,skvr01222950,skvr02101731,skvr02101732,skvr02101730,skvr02101751,skvr02101771,skvr02101770,skvr02101780,skvr02100010,skvr02100020,skvr02100030,skvr02100041,skvr02100040,skvr02100050,skvr06101190,skvr06101200,skvr06101210,skvr06100810,skvr07100101,skvr07100100,skvr07100121,skvr07100122,skvr07100123,skvr07100124,skvr07100120,skvr07100130,skvr07100140,skvr07101580,skvr07100150,skvr07101680,skvr07101680,skvr07100160,skvr07100170,skvr07101870,skvr07100182,skvr07100183,skvr07100180,skvr07100190,skvr07100010,skvr07100201,skvr07100202,skvr07100203,skvr07100200,skvr07100210,skvr07100220,skvr07100230,skvr07100240,skvr07100250,skvr07100260,skvr07100270,skvr07100280,skvr07100290,skvr07100300,skvr07100310,skvr07100320,skvr07100330,skvr07100340,skvr07100350,skvr07100360,skvr07100380,skvr07100390,skvr07100400,skvr07100411,skvr07100410,skvr07100420,skvr07100430,skvr07100440,skvr07100460,skvr07100470,skvr07100480,skvr07100490,skvr07100040,skvr07100500,skvr07100510,skvr07100520,skvr07100530,skvr07100550,skvr07100560,skvr07100570,skvr07100580,skvr07100590,skvr07100050,skvr07100060,skvr07100090,skvr12100030,skvr12160720,skvr13003190
t010100_4130	Väinämöisen ja Jouhkavaisen kutsuminen	skvr11100010
t010100_4140	Väinämöisen lapset orjiksi	skvr09100420
t010100_4150	Väinämöisen matka Pohjolaan	skvr06164160,skvr07106981,skvr07106980,skvr07106990,skvr12100990,skvr13014300
t010100_4160	Väinämöisen rautakengät	skvr01101150
t010100_4170	Väinämöisen syntymä	skvr07100960,skvr07100960,skvr12100010,skvr12100020
t010100_4180	Väinämöisen tuomio	skvr01106810,skvr01106820,skvr01106831,skvr01106830,skvr01106850,skvr01106860,skvr01106880,skvr01106890,skvr01106901,skvr01106900,skvr01106910,skvr01106921,skvr01106920,skvr01106930,skvr01106940,skvr01106951,skvr01106952,skvr01106950,skvr01106960,skvr01106971,skvr01106970,skvr01106980,skvr01201680,skvr01221570,skvr01221650,skvr01221650,skvr07104970,skvr07104970,skvr07100990,skvr07301450
t010200_0690	Vaskiportti-tarina	skvr07114760
t010200_0700	Vastaksessa	skvr01117920,skvr01117930,skvr01117940
t010200_0710	Vedenhaltijan lehmät	skvr01117890,skvr01117900,skvr01222680,skvr06104880,skvr06104890,skvr06104900,skvr06104910,skvr06104920,skvr06165000,skvr07114770,skvr07114780,skvr12102910
t010200_0720	Vedenhaltijan nostaminen	skvr11100170
t010200_0730	Vieri, kieri kakkarani	skvr10101500
t010200_0740	Viina Vilmin vietteli	skvr12102920,skvr12102930
t010200_0750	Viisaampansa vieressä yönsä maannut	skvr01120080,skvr01120090
t010200_0760	Vitsari ja Kööpeli	skvr06104980,skvr10101510,skvr13081720
t010200_0770	Vorna	skvr01112510,skvr01112520,skvr01112530,skvr01112540,skvr01112550,skvr01112560,skvr01112570,skvr01112580,skvr01112590,skvr01112600,skvr01112610,skvr01112620,skvr01112630,skvr01112640,skvr01112650,skvr01112660,skvr01112670,skvr01112680,skvr01112690,skvr01112700,skvr01112710,skvr12102940,skvr12102950,skvr12102960,skvr12102970,skvr12102980,skvr12102990,skvr12103000,skvr12103010,skvr12103020,skvr12103030,skvr12103040,skvr12103050,skvr12103060,skvr12103070,skvr12103080,skvr12103090,skvr12103100,skvr12181620,skvr12181630,skvr12181640
t010300_2370	Vappu leikkas sormeensa	skvr03110920
t010300_2380	Varastiit vallan aitan	skvr05223850,skvr05311290,skvr13081550
t010300_2390	Vasken Jussi	skvr05312410
t010300_2400	Vehmaisten hovi	skvr13081560,skvr13081570
t010300_2410	Vehnäterska	skvr15104000
t010300_2420	Venäläistä vieressänsä suvaitseva	skvr13013950
t010300_2430	Vihneen ottajat	skvr04115780,skvr04132430,skvr05223650,skvr10119920,skvr13029880,skvr14100800
t010300_2440	Viinanpolton kielto	skvr01112420,skvr01112430,skvr01112440,skvr01112450,skvr03141870,skvr06107260,skvr06107280,skvr06107300,skvr06148310,skvr06148340,skvr07124020,skvr13030330,skvr15102050,skvr15102060
t010300_2450	Viinasta villihullut	skvr04109030
t010300_2460	Viitta viety kirkkomäellä	skvr13014090
t010300_2470	Vilpon Mikko yritti hukuttaa Marin	skvr04134070,skvr04136660
t010300_2480	Voi nuo suuret piiat	skvr13082030
t010300_2490	Väinämöisen veljenpoika	skvr01217150,skvr09412110,skvr09412170,skvr09414250,skvr06107570,skvr06152710,skvr06164880,skvr06164890,skvr12174480
t010300_2500	Väinäsen emännän kirnu	skvr11100020
t010300_2510	Väärnojan väkevä Risto, Kolkapään korea Kosta	skvr03105650,skvr03127280,skvr03139210
t010300_2520	Vääränojan väkevältä leikattiin leijat	skvr03139210
t020100_1970	Venan tytöille virsiä	skvr03111270,skvr03102610,skvr03103040,skvr03115930,skvr03127270,skvr03134760,skvr03140160,skvr03141260
t020100_1980	Venäjän laulun hitto vieköön	skvr03103840,skvr04105140,skvr04116990
t020100_1990	Viel on virret laulamatta	skvr01200560,skvr05211230,skvr05201340,skvr05201360,skvr05201430,skvr05201560,skvr05200320,skvr05200890,skvr05303010,skvr05303120,skvr05303130,skvr06130110,skvr07115440,skvr13017970,skvr13003080
t020100_2000	Vieläk laulan, vain on kyllä	skvr04110630,skvr04104050,skvr04108150,skvr04108280,skvr04116710,skvr04116920,skvr04122110,skvr04122170,skvr04122460,skvr04128850,skvr04129770,skvr04133880,skvr05113260,skvr05211630,skvr05201610,skvr05201850,skvr05200580,skvr05208620,skvr05303120,skvr05303710,skvr05303720,skvr07115440,skvr13001120,skvr13001670,skvr13022020,skvr15111790,skvr15111850,skvr15111980,skvr15108860
t020100_2010	Virren jatko	skvr04112930,skvr05303510,skvr05303521,skvr05303520,skvr06105060,skvr07145110,skvr07145120,skvr13016730,skvr13016880,skvr13019080,skvr13071730,skvr13078640,skvr13083750
t020100_2020	Virren kiittäjille ja moittijoille	skvr01116510,skvr01116540,skvr01116570,skvr01117260,skvr01117310,skvr01117321,skvr01117320,skvr01117330,skvr01117340,skvr01117350,skvr01117360,skvr01117380,skvr01117390,skvr01117490,skvr01117540,skvr01117700,skvr01119030,skvr01205390,skvr02102970,skvr02103950,skvr02104160,skvr02104170,skvr07117241,skvr07129660,skvr07129680,skvr07131690,skvr07131700,skvr07131710,skvr07131720,skvr07131730
t020100_2030	Virren reunasta repäsen	skvr04112930,skvr04101660,skvr04102670,skvr04104020,skvr04126150,skvr04128940,skvr04141950,skvr04145910,skvr05201340,skvr05201360,skvr05201520,skvr05200320
t020100_2040	Virren synty	skvr01112501,skvr01112500
t020100_2045	Virret läpi päästä lähtekööt	skvr01102000,skvr01112790,skvr01113460,skvr01113490,skvr01113500,skvr01113550,skvr01117490,skvr01205390,skvr02103950,skvr12101070,skvr12103230
t020100_2050	Virret tielle virtasivat	skvr05203000,skvr05200400,skvr05303450,skvr13016320,skvr13017160
t020100_2060	Virret vetelät	skvr13056510
t020100_2070	Virret vilussa - pahassa paikassa	skvr01102000,skvr01108490,skvr01112920,skvr01113410,skvr01202040,skvr05201120,skvr05201970,skvr05202210,skvr05202680,skvr05202710,skvr05202760,skvr05202880,skvr05200400,skvr05303090,skvr05303560,skvr06105510,skvr07110920,skvr07114990,skvr07115090,skvr07115170,skvr07115181,skvr07115180,skvr07115200,skvr07115210,skvr07115230,skvr07115730,skvr07116790,skvr07117140,skvr07117150,skvr07248490,skvr13017110,skvr13017490,skvr13017580,skvr13018950,skvr13018960,skvr13018970,skvr13035660,skvr13047270
t020100_2080	Virsi loppui, tie sokeni	skvr03135780,skvr03142280,skvr03142530,skvr04110850,skvr04112210,skvr04114130,skvr04114270,skvr04103020,skvr04108170,skvr04109360,skvr04116680,skvr04116800,skvr04116970,skvr04119230,skvr04119460,skvr04120110,skvr04122190,skvr04124580,skvr04125380,skvr04125700,skvr04125740,skvr04126090,skvr04127020,skvr04129660,skvr04133110,skvr04135460,skvr04137960,skvr04138240,skvr04138310,skvr05213340,skvr05201380,skvr05201460,skvr05202120,skvr05202300,skvr05202890,skvr05202900,skvr05303771,skvr05303770,skvr13019100,skvr13019110,skvr15107280,skvr15108070
t020100_2090	Virsien tekeminen	skvr03104460,skvr03115320,skvr03134070,skvr04114080,skvr04114820,skvr04104980,skvr04107310,skvr04121890,skvr04125700,skvr04125850,skvr04130530,skvr04131960,skvr04133170,skvr04135400,skvr05101070,skvr05211020,skvr05201280,skvr05201550,skvr05201670,skvr05201870,skvr05218940,skvr05202270,skvr05202710,skvr05200580,skvr05200600,skvr05207250,skvr05302720,skvr05302730,skvr05303580,skvr05309430,skvr05309450,skvr06105020,skvr07117030,skvr13010940,skvr13010960,skvr13018020,skvr13018040,skvr13018050,skvr13018230,skvr13018820,skvr13047150,skvr13081290,skvr13082250,skvr13106020,skvr13106140,skvr15111790,skvr15103850,skvr15104280,skvr15108860
t020100_2100	Virsikerä	skvr01102000,skvr01112740,skvr01112790,skvr01113000,skvr01113080,skvr01113460,skvr01113481,skvr01113490,skvr01113510,skvr01117490,skvr01202040,skvr02100020,skvr02103930,skvr02103940,skvr02104700,skvr02104870,skvr03114310,skvr03114570,skvr04112930,skvr04103020,skvr04105760,skvr04106760,skvr04107320,skvr04108230,skvr04108400,skvr04109820,skvr04109840,skvr04115740,skvr04122160,skvr04122190,skvr04122210,skvr04122400,skvr04123390,skvr04123400,skvr04126300,skvr04131370,skvr04133180,skvr04133820,skvr04134080,skvr04134770,skvr05201340,skvr05201370,skvr05201460,skvr05201630,skvr05217070,skvr05220590,skvr05202200,skvr05202290,skvr05202300,skvr05202350,skvr05202370,skvr05202390,skvr05202400,skvr05202430,skvr05202440,skvr05202480,skvr05202490,skvr05202690,skvr05202990,skvr05203000,skvr05206230,skvr05303091,skvr05303090,skvr05303170,skvr05303450,skvr05303561,skvr05303560,skvr06105090,skvr06105150,skvr06105160,skvr06105390,skvr06105440,skvr06105510,skvr06148260,skvr07115130,skvr07115140,skvr07115150,skvr07115170,skvr07115181,skvr07115180,skvr07115190,skvr07115210,skvr12101070,skvr12103250,skvr12103400,skvr12103410,skvr12103420,skvr12103600,skvr13016030,skvr13017990,skvr13018950,skvr13047180,skvr13047270,skvr13049150,skvr15101050,skvr15101060
t020100_2110	Virsikontti, sanasalkku	skvr13010760,skvr13017730
t020100_2120	Vuoro laulaa	skvr03110290,skvr03110430,skvr03102960,skvr03105500,skvr03108500,skvr03114310,skvr03118100,skvr03120450,skvr03124240,skvr03124880,skvr03126110,skvr03126610,skvr03131450,skvr03135260,skvr03136200,skvr04113810,skvr04102850,skvr04109120,skvr04109740,skvr04115740,skvr04117800,skvr04122200,skvr04122380,skvr04122480,skvr04126460,skvr04126620,skvr04126880,skvr04127720,skvr04128020,skvr04130010,skvr04130540,skvr04131720,skvr04133880,skvr04134950,skvr04140000,skvr04140460,skvr05201330,skvr05202720,skvr05202731,skvr05202730,skvr05202740,skvr05202750,skvr05202760,skvr05202770,skvr05207410,skvr05208520,skvr05200910,skvr05302910,skvr05302920,skvr05302940,skvr05303530,skvr13015651,skvr13018100,skvr13018110,skvr13018120,skvr13048600,skvr15111850,skvr15112060,skvr15108850
t020100_2130	Vuorolaulu	skvr05211980,skvr06105050,skvr13018130,skvr15100970
t020100_2140	Vähä virren väärin lauloin	skvr05211380,skvr05212270,skvr05212850,skvr05201580,skvr05221540,skvr05204330,skvr05204410,skvr05205050,skvr05207320,skvr07115120,skvr07118291,skvr07118290,skvr07120000,skvr13001670,skvr13017210,skvr13026360,skvr13047220,skvr13080170
t020201_0970	Vakka syttä vatsassani	skvr03100050,skvr03108240,skvr03108350,skvr03114470,skvr03114570,skvr03114580,skvr03114630,skvr03118070,skvr03128990,skvr03132480,skvr03132640,skvr03138940,skvr04110740,skvr04110780,skvr04104490,skvr04108180,skvr04109000,skvr04116730,skvr04121720,skvr04125520,skvr04129910,skvr04130880,skvr15111930,skvr15113370
t020201_0980	Viere, viere kyynelkakku	skvr03102190
t020202_0530	Vieraalle joutunut poika	skvr03105100
t020202_0540	Vieraalle maalle joutunut	skvr01101020,skvr01101080,skvr01101240,skvr01101270,skvr01100130,skvr01100140,skvr01100150,skvr01100170,skvr01100180,skvr01100381,skvr01100490,skvr01100041,skvr01100040,skvr01100540,skvr01100581,skvr01100580,skvr01100600,skvr01100633,skvr01100791,skvr01100790,skvr01100810,skvr01100820,skvr01100831,skvr01100832,skvr01100840,skvr01100950,skvr01100091,skvr01100090,skvr01113770,skvr01114670,skvr01212500,skvr02104580,skvr02104590,skvr03110410,skvr03111380,skvr03101910,skvr03102720,skvr03100400,skvr03108640,skvr03109490,skvr03113930,skvr03115170,skvr03121760,skvr03136130,skvr03138650,skvr03141590,skvr04110810,skvr04111760,skvr04111850,skvr04101200,skvr04112250,skvr04113020,skvr04113100,skvr04113290,skvr04113880,skvr04114260,skvr04114770,skvr04114960,skvr04101630,skvr04102000,skvr04104140,skvr04104420,skvr04106710,skvr04106790,skvr04108140,skvr04108260,skvr04108860,skvr04109040,skvr04109110,skvr04109140,skvr04109540,skvr04116040,skvr04116050,skvr04116460,skvr04117700,skvr04121200,skvr04121440,skvr04121450,skvr04122030,skvr04123690,skvr04129360,skvr04129710,skvr04131360,skvr04131710,skvr04132190,skvr04133700,skvr04136210,skvr04136450,skvr04136770,skvr04136800,skvr04136820,skvr04139720,skvr05112150,skvr05113280,skvr05210340,skvr05210960,skvr05210990,skvr05211030,skvr05211610,skvr05201240,skvr05201260,skvr05215660,skvr05221760,skvr05224180,skvr05203120,skvr05203580,skvr05204230,skvr05204290,skvr05204300,skvr05204310,skvr05204320,skvr05204330,skvr05204340,skvr05204350,skvr05204360,skvr05204370,skvr05204380,skvr05204390,skvr05204400,skvr05204410,skvr05204570,skvr05204820,skvr05205910,skvr05207100,skvr05207440,skvr05209120,skvr05209500,skvr05209710,skvr05311030,skvr05311040,skvr05311050,skvr05311380,skvr05311430,skvr05312240,skvr05304650,skvr05304750,skvr05305210,skvr05306810,skvr07108000,skvr07113150,skvr07115440,skvr07116920,skvr07118330,skvr07118360,skvr07118740,skvr07119610,skvr07120980,skvr07121400,skvr07122090,skvr07122530,skvr07122670,skvr07122680,skvr07122700,skvr07122740,skvr07122750,skvr07122760,skvr07122780,skvr07122800,skvr07122810,skvr07122820,skvr07122830,skvr07122850,skvr07122870,skvr07122880,skvr07122890,skvr07123080,skvr07124620,skvr07124960,skvr07125950,skvr07127020,skvr07238180,skvr13014030,skvr13014040,skvr13014050,skvr13014350,skvr13019910,skvr13020460,skvr13002050,skvr13020950,skvr13023070,skvr13023220,skvr13023230,skvr13023240,skvr13023250,skvr13023260,skvr13023270,skvr13023280,skvr13023290,skvr13023300,skvr13024060,skvr13025560,skvr13028860,skvr13028890,skvr13029550,skvr13033640,skvr13036560,skvr13107060,skvr13107070,skvr13107080,skvr13107090,skvr13107190,skvr13107200,skvr13107210,skvr13107220,skvr15112320
t020203_0700	Vanhempani vierähtivät Tuonelan tupiin	skvr14108420
t020203_0710	Veli auttoi armotonta	skvr05205580
t020203_0720	Veljen haudalla	skvr03110320,skvr03101030,skvr03105070,skvr03116010,skvr03116020,skvr03120440,skvr03122150,skvr03122320,skvr03123350,skvr03136040,skvr04112950,skvr04112960,skvr04103750,skvr04116020,skvr04116370,skvr04128910,skvr04146320,skvr04146570,skvr04147780,skvr13015320,skvr13009020
t020300_0450	Vaikea varahin nousta	skvr13024520,skvr13024530,skvr13024540
t020300_0460	Vieras kivi kuin vesihako, isän kivi kuin lehti	skvr04109870,skvr05212790,skvr13004980
t020300_0470	Vieras leipä miun virutti	skvr04126190,skvr04127730,skvr04131930,skvr04135690,skvr04135790,skvr04136770
t020300_0480	Vieras kivi kuin vesihako, isän kivi kuin lehti	skvr04109870,skvr05212790,skvr13004980
t020300_0490	Vuoden luusin lusikasta	skvr04100190,skvr04123770
t020400_0680	Vai lie suilla syötänee	skvr03110090,skvr03110240,skvr03108200,skvr03130250,skvr03141810,skvr05304891,skvr05304890,skvr05304910,skvr13105490
t020400_0690	Vielä herkiävät ennenkuin kuolla kerkiävät	skvr05211360,skvr05200320,skvr05205581,skvr05207210,skvr05207230,skvr05305360,skvr13023790
t020600_0650	Viekää tuuli terveyttä	skvr03110330,skvr03101040,skvr03109410,skvr03109740,skvr03121140,skvr03125250,skvr03126380,skvr03128100,skvr03132200,skvr03138840,skvr04110070,skvr04102250,skvr07123780,skvr13032010
t020700_1650	Vanha kosija	skvr03100900,skvr12115980
t020700_1660	Vanhemmat neuvovat poikaansa naima-asioissa	skvr04111060,skvr05102130,skvr05209790,skvr05209870,skvr06102910,skvr06105890,skvr13032250,skvr13080520,skvr13080530,skvr13080550,skvr13080560,skvr14120750
t020700_1670	Vielä mull on mielitietto	skvr07126550
t020700_1680	Vielä tälle tyttöselle	skvr01114530,skvr01114550,skvr01114570,skvr01114580,skvr01116030,skvr01116200,skvr01116410,skvr02104470,skvr05106570,skvr05213120,skvr05207840,skvr05208530,skvr05208710,skvr05208740,skvr05305660,skvr06105630,skvr06108020,skvr06108030,skvr06108040,skvr07120500,skvr07123190,skvr07124050,skvr07124080,skvr07124810,skvr07125430,skvr07125540,skvr07125880,skvr07126230,skvr07126560,skvr07126570,skvr07126580,skvr07126590,skvr07126600,skvr07126610,skvr07126620,skvr07126630,skvr07128440,skvr07130740,skvr07135630,skvr12103440,skvr12103450,skvr13012620,skvr13024690,skvr13026600,skvr13026610,skvr13026620,skvr13071570,skvr13079100,skvr15101400,skvr15106690
t020801_0700	Veljen nainen epäsovun aiheuttajana	skvr03141600,skvr04109710
t020801_0710	Vello vieremässä	skvr03110300,skvr03110350,skvr03111130,skvr03101141,skvr03101140,skvr03102430,skvr03104790,skvr03100800,skvr03120310,skvr03126870,skvr03129250,skvr03129260,skvr03132200,skvr03138280,skvr03138320,skvr03138840,skvr03140450,skvr04110990,skvr04111730,skvr04112190,skvr04101890,skvr04103600,skvr04107640,skvr04108200,skvr04109430,skvr04115860,skvr04116040,skvr04127050,skvr04130290,skvr04135420,skvr04136690,skvr04138940,skvr05211070,skvr05224150,skvr05200260,skvr05200270,skvr05200310,skvr05203600,skvr05205410,skvr05209380,skvr06105960,skvr13012200,skvr13015600,skvr13015610,skvr13015620,skvr13015630,skvr13015900,skvr13016580,skvr13016640,skvr13022080,skvr13030290,skvr13030500,skvr15109530,skvr15109550
t020801_0720	Venaan miehet kiittelööt: ei huoli hovissa käyvä	skvr03102040,skvr03105040,skvr03115300,skvr03115310,skvr03115930,skvr03115940,skvr03115950,skvr03126980,skvr03134740,skvr03138340,skvr05221200,skvr05221240,skvr15112210
t020802_0740	Vaihoin valkosen eloni	skvr04109370
t020802_0750	Venäjälle naimisiin joutunut	skvr05209690
t020802_0760	Vihainen miniä	skvr07126640,skvr13024620,skvr13024630
t020803_0640	Viikon vuotin virkeätä - sain vihaisen	skvr01111430,skvr01114370,skvr02104510,skvr05100040,skvr05207461,skvr05208610,skvr06106330,skvr07120630,skvr07123020,skvr07123120,skvr07124320,skvr07124500,skvr07125290,skvr07125320,skvr07125330,skvr07125340,skvr07144141,skvr07144490,skvr13027310,skvr13027330,skvr13030310,skvr13038590,skvr13038640
t020803_0660	Vuoteilla voitettu	skvr07117250,skvr07119590,skvr07121120,skvr07124340,skvr07124350,skvr07124360,skvr07124370,skvr07124380,skvr07124390,skvr07124400,skvr15104940,skvr15104950
t020804_0210	Viikon istuin virsu käessä	skvr05212430,skvr05204580,skvr05206480,skvr05307080,skvr05307090,skvr13021850,skvr13023520,skvr13024550,skvr13026070,skvr13003200,skvr13032420,skvr13034250,skvr13034260,skvr13037440
t020901_0140	Vaivasen pojan valitus	skvr07123110,skvr07127530
t020902_0320	Valjasti iso tulisen ruunan	skvr05111920,skvr13012810,skvr13013230,skvr13020970,skvr13028200
t020903_0910	Viel minusta mies tulisi, kun ois panna kuivumaan	skvr05219780,skvr05223270,skvr13028860,skvr13029420,skvr13033300,skvr13081860
t021000_0330	Viimeinen virteni	skvr06107250
t030100_0570	Vuole puikkoa kanan silmää kaivaaksesi	skvr13080420
t030100_0580	Vyötä tehdessä	skvr13080430
t030200_1120	Valkenetko päivä neidoille	skvr03137680
t030200_1130	Vieläkö ilo elääpi?	skvr06109400
t030200_1140	Vihmasilla kastumaan, löközillä istumaan	skvr02111800
t030300_2730	Vaava vaava vaakuttaa	skvr14109630
t030300_2740	Vehnäpulla	skvr06110560,skvr08128280,skvr08148330,skvr08148430,skvr08148450,skvr10103271,skvr12104860,skvr13112120,skvr13115450,skvr14104380,skvr14104390,skvr14104400,skvr14104410
t030300_2750	Viekkaudella tehty	skvr09121560
t030300_2760	Vielä on lepoa jäljellä	skvr09121370,skvr09121380
t030300_2770	Voi pahaa paimenpoikaa	skvr10111070,skvr10111080
t030300_2780	Voi sitä helvetin tuskaa	skvr06115660
t030500_0290	Viron veräjät	skvr03117950,skvr03137030,skvr04100200,skvr04122750,skvr04126850,skvr04127400,skvr04127710,skvr04129880,skvr04129990,skvr04131560,skvr04131730,skvr04139120,skvr05217270,skvr13035610,skvr13124000,skvr13124010,skvr13124020
t030600_1760	Vaihdetaan hevosia, anna ori mulle 	skvr03110200,skvr04123580,skvr04129450,skvr04135800,skvr13076710,skvr13124300,skvr13124610,skvr13124660
t030600_1770	Vastakkaistanssi - Tais tais Taneli	skvr13124210
t030700_0740	Vaahtokuu varikset tuopi	skvr11104970
t030700_0750	Vetelyksen viikonpäivät	skvr06129390,skvr06129400,skvr06129410,skvr06129420,skvr06129430,skvr06129440,skvr06171690,skvr06171700,skvr10120210,skvr10120231,skvr10120232,skvr10120233,skvr10120230,skvr11126830,skvr12104220,skvr12181900,skvr12181920,skvr12181940,skvr13068290,skvr13068300,skvr13068310,skvr13068330,skvr13122110,skvr13122140,skvr13122150,skvr13122170,skvr13122190,skvr13122210,skvr13122220,skvr14101940,skvr14101950,skvr14101970
t030700_0760	Viikon päivät ja työt	skvr04126050,skvr06129450,skvr06129460,skvr06129470,skvr06129480,skvr06129490,skvr06129500,skvr06129510,skvr06171711,skvr06171712,skvr06171710,skvr06171720,skvr07144470,skvr08144330,skvr08144340,skvr10120170,skvr10120190,skvr10120220,skvr10120234,skvr11126820,skvr11105060,skvr11105070,skvr12104230,skvr12104240,skvr12104250,skvr12104260,skvr12181931,skvr12181970,skvr13068320,skvr13068340,skvr13068350,skvr13122080,skvr13122090,skvr13122100,skvr13122120,skvr13122130,skvr13122160,skvr13122180,skvr13122200,skvr14101980,skvr14101990,skvr14102010,skvr14102020,skvr14102030
t030700_0770	Virvana, Varvana	skvr01119940
t030700_0780	Vuoden jakaminen viikottain	skvr06128990,skvr06129000,skvr06129010,skvr06129020,skvr06129030,skvr06129040,skvr06129050,skvr06129060,skvr06129070,skvr06129080,skvr06129090,skvr06129100,skvr06129110,skvr06129120,skvr06129130,skvr06129140,skvr06129150,skvr06129160,skvr06129170,skvr06129180,skvr06129190,skvr06129200,skvr06129210,skvr06129220,skvr06129230,skvr06129240,skvr06129250,skvr06129260,skvr06129270,skvr06129280,skvr06129290,skvr06129300,skvr06129310,skvr06171640,skvr06171650,skvr06171660,skvr08144300,skvr08144310,skvr08144320,skvr10120501,skvr10120500,skvr11105020,skvr11105030,skvr12104210,skvr12181850,skvr12181860,skvr12181870,skvr12181880,skvr13122050,skvr13122060,skvr13122070,skvr14102040,skvr14102050,skvr14102060,skvr14102070,skvr14102080,skvr14102090
t030800_0550	Valkea meressä vaahti, valkeammat meiän neijot	skvr03115840,skvr04114170
t030800_0560	Vesi meille vehnät jauhaa	skvr04115770,skvr05221310,skvr05221410,skvr05221660,skvr05208760,skvr05311140,skvr06105590,skvr07125610,skvr13017340,skvr13018750,skvr13033540,skvr13033900
t030800_0570	Voi meitä meren kanoja	skvr05306660,skvr05300820,skvr12103780,skvr13016290,skvr13026780,skvr13033460,skvr13033480,skvr13033520,skvr13033530,skvr13033560,skvr13081930
t030800_0575	Voi voitonta kylää	skvr05110740,skvr05101080,skvr05218620,skvr05301341,skvr05301340,skvr05301351,skvr05301350,skvr07122840
t040101_0230	Vaihdoin valkean hevosen	skvr13034730
t040104_0220	Vaihda vanhat vaatteesi	skvr03133440,skvr03133700,skvr04110540,skvr04112470,skvr04112820,skvr04112830,skvr04114510,skvr04105290,skvr04106260,skvr04123020
t040104_0230	Viekää marjanen makaamaan	skvr04146220,skvr04147200
t040201_0590	Vai on poukku permannolla, pirtti pesemättä	skvr03116880,skvr03124540,skvr03124890,skvr03132660
t040201_0600	Veli on sorrettu sotaan	skvr03130290
t040201_0610	Viitta seisoi viisi vuotta	skvr03104220,skvr03104360,skvr03100560,skvr03116350,skvr03116740,skvr03117390,skvr03121480,skvr03130290,skvr03130390,skvr03130570,skvr03130730,skvr03132680,skvr03132720,skvr03134800,skvr03135650,skvr03137970,skvr03142350,skvr04112480,skvr04112870,skvr04114710,skvr04101690,skvr04104680,skvr04104970,skvr04117170,skvr04122890,skvr04123070,skvr04130790,skvr04135180,skvr04139940,skvr04146210,skvr04146380,skvr05213280,skvr13036170,skvr13036190
t040201_0620	Viivyit viinatiellä	skvr03104030,skvr03100560,skvr03116740,skvr03117020,skvr03117380,skvr03117640,skvr03121470,skvr03122590,skvr03124860,skvr03124890,skvr03124980,skvr03125920,skvr03130200,skvr03130290,skvr03130390,skvr03130570,skvr03130590,skvr03130730,skvr03131000,skvr03131150,skvr03131650,skvr03131890,skvr03132630,skvr03134120,skvr03134800,skvr03134810,skvr03135560,skvr03135600,skvr03137970,skvr03141850,skvr04134350,skvr04138440,skvr05213280,skvr13036200,skvr13047150
